id,smiles,tags
481,O=S(=O)(CCNCC1CN(Cc2ccsc2)CCC1O)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
485,CCS(=O)(=NCc1cc(OC)c(OC)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
487,CCS(=O)(=Nc1cc(C(=O)NC)ccc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
488,CCS(=O)(=NCc1cc(N2CCC(c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
491,CCS(=O)(=Nc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
492,CCS(=O)(=NCc1cc(N2CCCC(c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
493,CCS(=O)(=O)NC(NCC(N)c1ocnc1C(=O)Nc1c[nH]c(=O)c2ccccc12)c1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
494,CCS(=O)(=NCc1cc2nnc(N)n2cc1-c1cnccn1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
495,CCS(=O)(=NCc1ccc2nncn2c1NC(=O)Nc1cn[nH]c1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
497,CCS(=O)(=NCc1cc(SCc2ccncc2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
498,CCS(=O)(=Nc1cc(Sc2nc3ccsc3c(=O)[nH]2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
499,CCS(=O)(=NCC1CN(S(=O)(=O)N2CCNCC2)Cc2[nH]nnc21)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
500,CCS(=O)(=O)c1c2cc3c(cc2cc2nc(Sc4cccc5nncn45)[nH]c12)OCO3,"{'iter1 exported merges', 'iter1 scaffolds'}"
501,CCS(=O)(=NCC1NC(=O)c2cc(S(=O)(=O)F)ccc21)NCc1ccc2c(c1)OCO2,"{'iter1 exported merges', 'iter1 scaffolds'}"
707,Cn1ccc(S(=O)(=O)NCNc2nnc3ccccn23)n1,"{'iter1 exported merges', 'iter1 scaffolds'}"
759,O=S(=O)(NCCc1nnc2cnccn12)N1CCOCC1,"{'iter1 exported merges', 'iter1 scaffolds'}"
824,CS(=O)(=O)Nc1cccc(-c2ccc3nnc(N)n3c2Sc2nnc(-c3ccc[nH]3)o2)c1,"{'iter1 exported merges', 'iter1 scaffolds'}"
839,CS(=O)(=O)Nc1cccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)c2ccc(N)nc2)c1,"{'iter1 exported merges', 'iter1 scaffolds'}"
841,CS(=O)(=O)Nc1cccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)N2CCOCC2)c1,"{'iter1 exported merges', 'iter1 scaffolds'}"
898,COc1ccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)c2ccc(O)cc2)cc1OC,"{'iter1 exported merges', 'iter1 scaffolds'}"
900,COc1ccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)c2ccn(C)n2)cc1OC,"{'iter1 exported merges', 'iter1 scaffolds'}"
933,CN(Cc1ccc(N)cc1)C1(O)CCc2nncn2C1,"{'iter1 exported merges', 'iter1 scaffolds'}"
962,CNC(=O)c1ccc(-c2cn3c(N)nnc3cc2CNS(=O)(=O)c2cscn2)cc1,"{'iter1 exported merges', 'iter1 scaffolds'}"
1033,O=S1(=O)C(c2ccccc2)CCCC12Cc1nncn1C(CNCc1n[nH]c(-c3ccccc3)n1)C2,"{'iter1 exported merges', 'iter1 scaffolds'}"
1043,O=S1(=O)NN(Cc2cccc3nncn23)Cc2nc(-c3ccccc3)nn21,"{'iter1 exported merges', 'iter1 scaffolds'}"
1097,O=S(=O)(NCc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)c1ccns1,"{'iter1 exported merges', 'iter1 scaffolds'}"
1098,O=S(=O)(NCc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)c1ccc(O)cc1,"{'iter1 exported merges', 'iter1 scaffolds'}"
