smiles,hit0,hit1
[H]c1nsc(S(=O)(=O)N([H])C([H])([H])C([H])([H])n2nnc(C([H])([H])[H])n2)c1[H],7gq4-a,B1307a
[H]Oc1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])n2nnc(C([H])([H])[H])n2)c([H])c1[H],7gq4-a,B1361a
[H]N(C([H])([H])C([H])([H])n1nnnc1C([H])([H])[H])S(=O)(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],7gq4-a,B1368a
[H]c1c(S(=O)(=O)N([H])C([H])([H])C([H])([H])n2nnc(C([H])([H])[H])n2)nn(C([H])([H])[H])c1[H],7gq4-a,B1456a
[H]c1nc(S(=O)(=O)N([H])C([H])([H])C([H])([H])n2nnnc2C([H])([H])[H])c([H])s1,7gq4-a,B1457a
[H]c1nc(N([H])[H])c([H])c([H])c1S(=O)(=O)N([H])C([H])([H])C([H])([H])n1nnc(C([H])([H])[H])n1,7gq4-a,B1460a
[H]C(C(=O)OC([H])([H])C([H])([H])[H])=C([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2(N([H])N([H])[C@@]([H])(C([H])([H])[H])N2[H])C1([H])[H],7gq4-a,B1462a
[H]N(C([H])([H])C([H])([H])n1nnnc1C([H])([H])[H])S(=O)(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],7gq4-a,B1463a
[H]c1[nH]c2c([H])c(N=[S@](=O)(N([H])C([H])([H])c3c([H])c([H])c4c(c3[H])OC([H])([H])O4)C([H])([H])C([H])([H])[H])c(C(=O)N([H])[H])c([H])c2c1[H],7gok-a,7gp9-a
[H]c1[nH]c2c([H])c([H])c3c(c2c1[H])=NN=C(C([H])([H])[H])N:3N([H])[H],7gok-a,7gq4-a
[H]c1nnc2c(c([H])c([H])c3[nH]c([H])c([H])c32)c1N([H])C([H])([H])C(=O)[C@@]1([H])OC([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],7gok-a,7gol-a
[H]OC1([H])C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])N([H])c2c([H])c(C(=O)N([H])[H])c([H])c3c([H])c([H])[nH]c23)C([H])([H])C1([H])[H],7gok-a,7gp2-a
[H]c1[nH]c2c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])/N=C(/c3noc(C([H])([H])[H])c3[H])N([H])C([H])([H])C(=O)OC([H])([H])[H])c([H])c2c1[H],7gok-a,7goy-a
[H]c1[nH]c2c(N([H])C([H])([H])[C@@]3([H])N([H])[C@]([H])(c4noc(C([H])(C([H])([H])[H])C([H])([H])[H])n4)C([H])([H])C3([H])[H])c([H])c(C(=O)N([H])[H])c([H])c2c1[H],7gok-a,7gpm-a
[H]C1=C([H])C([H])=C(C([H])([H])N([H])[H])N2:c3c([H])c([H])c4[nH]c([H])c([H])c4c3=NN=C12,7gok-a,7gqf-a
[H]Oc1c([H])c2c(c([H])c1-c1c(C([H])([H])N([H])[H])c([H])c([H])c3[nH]c([H])c([H])c13)C(=O)OC(C([H])([H])[H])(C([H])([H])[H])O2,7gok-a,7gqh-a
