https://fragalysis.diamond.ac.uk/viewer/react/projects/1865/568,,,,,,,,,,,,,,,,,,
smiles,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,name,compound_set,inspiration_1,inspiration_2,green,green-text
O=S1(=O)[C@@H](c2ccccc2)CCC[C@]12Cc1nncn1[C@H](CNCc1n[nH]c(-c3ccccc3)n1)C2,350558,6.986907,0.490585,7082,1033,6450,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1033-P144,acceptable,expansion,None,ZTWXEBUXALNNFU-VRUMLPLGSA-N,v77a,35,B0691a,B1219a,true,green
O=S1(=O)NN(Cc2cccc3nncn23)Cc2nc(-c3ccccc3)nn21,350558,2.343149,0.679761,7097,1043,6452,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1043-P147,acceptable,expansion,None,MFPQVYLTINRIPD-UHFFFAOYSA-N,v79a,35,7gp2-a,B0723a,true,green
O=S(=O)(NCc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)c1ccns1,350558,4.206486,0.621774,7172,1097,6455,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1097-P196,acceptable,expansion,None,RAWKTIYUUMGONY-UHFFFAOYSA-N,v82a,35,B0738a,B1457a,true,green
Cn1ccc(S(=O)(=O)NCc2cc(Nc3n[nH]c(-c4ccccc4)n3)n3cnnc3c2)n1,350558,4.966329,0.580959,7177,1100,6457,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1100-P148,acceptable,expansion,None,JDSFMHCDLBLTOW-UHFFFAOYSA-N,v84a,35,B0738a,B1463a,true,green
O=S(=O)(NCc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)c1cscn1,350558,5.463378,0.64621,7180,1101,6459,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1101-P150,acceptable,expansion,None,SLDWBFOSOMALSF-UHFFFAOYSA-N,v86a,35,7gp9-a,B0742a,true,green
Cn1ccc(S(=O)(=O)NCc2cc(N3CCC[C@@H](c4ccccc4)S3(=O)=O)n3cnnc3c2)n1,350558,5.956809,0.661536,7209,1121,6460,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1121-P150,acceptable,expansion,None,IELYVEIWJLORIZ-SFHVURJKSA-N,v87a,35,B0742a,B1307a,true,green
O=S(=O)(NCc1cc(N2CCC[C@@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)c1cscn1,350558,5.23087,0.67812,7212,1122,6462,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1122-P188,acceptable,expansion,None,GUQYNUCXGFLGTG-KRWDZBQOSA-N,v89a,35,B0742a,B1361a,true,green
O=S(=O)(NCc1cc(N2CCC[C@@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)N1CCOCC1,350558,5.861494,0.660734,7213,1125,6463,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1125-P150,acceptable,expansion,None,AWVUBXWCDDDEPI-IBGZPJMESA-N,v90a,35,B0742a,B1457a,true,green
Nc1ccc(S(=O)(=O)NCCc2cc(Sc3nc4ccsc4c(=O)[nH]3)n3cnnc3c2)cn1,350558,5.259015,0.541955,7387,1280,6467,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C1280-P164,acceptable,expansion,None,GCWXMZUOJLEQBP-UHFFFAOYSA-N,v94a,35,B0931a,B1457a,true,green
c1cc(N2CCCCC2)ns1,350568,1.241018,0.796407,2980,4445,6470,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C4445-P44,acceptable,expansion,None,CNBZAADYSVGLQG-UHFFFAOYSA-N,v97a,36,7gp2-a,B1307a,true,green
COc1cc(CN[C@H](C)Cc2ccno2)cc2c1OCO2,350563,1.452699,0.689916,842,2022,6471,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2022-P59,acceptable,expansion,None,ZBTYMXBQBXMSMR-SNVBAGLBSA-N,v98a,36,7gp9-a,7goy-a,true,green
c1cc(CNc2ccc3c(c2)OCO3)on1,350563,1.202977,0.76063,1210,2074,6472,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2074-P59,acceptable,expansion,None,BWWXGHHHLUEPOW-UHFFFAOYSA-N,v99a,36,7gp9-a,7goy-a,true,green
