35
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,inspiration_1,inspiration_2,green,green-text,red,red-text
CC[S@@](=O)(=Nc1ccc(NS(C)(=O)=O)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,v14a,350558,5.660014,0.721696,322,483,6387,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C483-P13,acceptable,expansion,None,PMIXLSGFTADAMU-QNGWXLTQSA-N,7gp9-a,B0439a,,,true,red
CC[S@@](=O)(=Nc1ccc(NS(C)(=O)=O)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,v14b,350558,4.319285,0.638806,329,483,6388,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C483-P129,acceptable,expansion,None,PMIXLSGFTADAMU-QNGWXLTQSA-N,7gp9-a,B0439a,,,true,red
CC[S@](=O)(=NCc1cc(OC)c(OC)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,v16a,350558,4.194049,0.827909,345,485,6389,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C485-P13,acceptable,expansion,None,PAACYIUKIWTKAR-DIPNUNPCSA-N,7gp9-a,B0450a,,,true,red
O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)N1CCCC1,v17a,350559,9.958295,0.79249,360,172,6390,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C172-P190,acceptable,expansion,None,OARQFRHWVMOKPX-UHFFFAOYSA-N,B1020a,B1368a,true,green,,
CC[S@](=O)(=NCc1cc(OC)c(OC)cc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,v16b,350558,4.411958,0.796611,352,485,6391,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C485-P132,acceptable,expansion,None,PAACYIUKIWTKAR-DIPNUNPCSA-N,7gp9-a,B0450a,,,true,red
CC[S@](=O)(=Nc1cc(C(=O)NC)ccc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,v19a,350558,6.876564,0.789264,362,487,6392,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C487-P13,acceptable,expansion,None,PBDFDUJLYHDLGR-PSXMRANNSA-N,7gp9-a,B0455a,,,true,red
CC[S@](=O)(=Nc1cc(C(=O)NC)ccc1-c1ccc2nnc(N)n2c1)NCc1ccc2c(c1)OCO2,v19b,350558,4.483043,0.757653,368,487,6393,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C487-P136,acceptable,expansion,None,PBDFDUJLYHDLGR-PSXMRANNSA-N,7gp9-a,B0455a,,,true,red
O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1cscn1,v21a,350559,4.371919,0.796269,371,174,6394,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C174-P168,acceptable,expansion,None,VULGYVLYDAWQHL-UHFFFAOYSA-N,B1020a,B1457a,true,green,,
CC[S@](=O)(=NCc1cc(N2CC[C@@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,v22a,350558,4.155586,0.741502,374,488,6395,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C488-P13,acceptable,expansion,None,KFJNKWVMMXQGKO-FKEHTHLJSA-N,7gp9-a,B0691a,,,true,red
O=S(=O)(NCCn1nnc2c1CCN(S(=O)(=O)N1CCNCC1)C2)c1cscn1,v21b,350559,4.25243,0.840613,378,174,6396,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C174-P196,acceptable,expansion,None,VULGYVLYDAWQHL-UHFFFAOYSA-N,B1020a,B1457a,true,green,,
