36
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,inspiration_1,inspiration_2,red,red-text,green,green-text
CC(C)(CNC(=O)c1cc(-c2ccoc2)on1)N1CCCCC1,v112a,350564,5.856484,0.50851,2616,3209,6485,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3209-P59,acceptable,expansion,None,SSIWEIZBDUFKPB-UHFFFAOYSA-N,7gp2-a,7goy-a,true,red,,
C[C@H](COC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,v113a,350562,6.166514,0.502008,2628,5906,6486,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5906-P40,acceptable,expansion,None,QLLFKTQWEOSFEX-CQSZACIVSA-N,7gok-a,7gp2-a,,,true,green
C[C@@H](CNC(=O)C(=O)Nc1ccc2cc[nH]c2c1)N1CCCCC1,v114a,350562,8.72911,0.369545,2664,5911,6487,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5911-P40,acceptable,expansion,None,CSNUJKFAWOWXAL-ZDUSSCGKSA-N,7gok-a,7gp2-a,true,red,,
CCCc1cccc(CNCc2ccno2)c1,v115a,350565,1.556746,0.445763,2672,1607,6488,D68EV3C_iter1_knitwork_pure_split1000_batch004.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350565/C1607-P59,acceptable,expansion,None,JFDSBNYGCGJYJN-UHFFFAOYSA-N,7goy-a,7gpm-a,true,red,,
CS(=O)(=O)CCCCCNC(=O)c1cc(CN2CCCCC2)on1,v116a,350564,2.682467,0.488373,2738,3233,6489,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3233-P44,acceptable,expansion,None,AQKDVGWHSYNMMI-UHFFFAOYSA-N,7gp2-a,7goy-a,,,true,green
Cc1oncc1N1CCCCC1,v117a,350564,1.32458,0.699452,2908,3249,6490,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3249-P59,acceptable,expansion,None,CDPZJWVROYWSGB-UHFFFAOYSA-N,7gp2-a,7goy-a,true,red,,
c1cc(CN2CCCCC2)on1,v118a,350564,0.870099,0.600551,2914,3250,6491,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3250-P59,acceptable,expansion,None,JYOLCCCEPYDXKP-UHFFFAOYSA-N,7gp2-a,7goy-a,true,red,,
c1ccc(-c2cc(CN3CCCCC3)on2)cc1,v119a,350564,2.342982,0.490771,2929,3251,6492,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3251-P44,acceptable,expansion,None,IDNKMEIJFTWUEG-UHFFFAOYSA-N,7gp2-a,7goy-a,,,true,green
COCCN(C)CCCNC(=O)c1cc(CN2CCCCC2)on1,v120a,350564,3.364967,0.521525,2953,3254,6493,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3254-P44,acceptable,expansion,None,FTXYGSXUURDKCD-UHFFFAOYSA-N,7gp2-a,7goy-a,true,red,,
CNC(=O)CCCNC(=O)c1cc(CN2CCCCC2)on1,v121a,350564,3.932547,0.534448,3017,3259,6494,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3259-P44,acceptable,expansion,None,DEPBGOBZKCJNEA-UHFFFAOYSA-N,7gp2-a,7goy-a,true,red,,
